text,num1_poltics,num2_poltics,num3_poltics
好啦丸子，一起支持柯文哲🥰,1,0,0
請陳部長、不要辭職、為老百姓有蛋吃、費盡心思千辛萬難、買了上億蛋、比疫苗陳時中部長能幹、剛好臺灣每人分5顆、是人民讓你失望、沒有積極吃蛋、以致蛋過期、為全民健康、銷毀5仟萬蛋、這不是你的錯、留下吧國家需要你這種人材、農民也需要你天災地變都會補助現金、難得好官,0,0,0
"賴清德為了是不是、拆不拆老家違章建築，接連哽咽了三次。
競選總統的人，被這種小事糾纏，為這種小事失態，不但失格，也真是難看無比。
歷任立法委員、臺南市長、行政院長、副總統，雖然歷練似乎完整，但是沒有看到一點可觀政績。
讓人印象深刻的只是一怒之下長期不去議會備詢，南鐵東移引起地方抗爭，與臺獨金孫這個名號。
這種人的民調居然還能領先其他參選者，民進黨都沒有人才了嗎？臺灣都沒有人才了嗎？
子女都在美國工作，副手國籍不清不楚，這麼差的搭檔組合，其他兩組參選人竟然還不能遙遙領先。
君子道消，小人道長。
臺灣真的適合實施民主政治嗎？",0,-1,0
前面有一個支持顆的，連講都講不出來，完全不知道，完全一問三不知，跟白粉一模一樣😃👏,-1,0,0
還差一樣，要講自己是南部人，最好是高雄還是臺南的😀😃😄👏👏👏,0,0,0
我跟大家介紹一下，我樓上那一位就是林小姐…新來的助理。大家不要對他太兇，嚇到他都變成白粉了😭👏,-1,0,0
而且我們藍軍會好好照顧你們的🥰👏,0,0,0
現在通膨，而且什麼都漲價…不只1450了。但是科網軍那邊的價錢應該會比較高，因為他們現在嚴重落後都要一直加班，像你一樣？😮😧😄👏👏,0,-,0
你哪間公司，大家參考看看？ 其他人的公司大部分都支持趙少康…就你們的公司比較特別。😧😨😰👏👏👏,0,0,1
也可以呀…最好找10到19歲的那種😀😃😄👏👏👏,0,0,0
"太好了太好了這次真的是太好了啦...趙總統已經追上來了, 即將要看到黃金交叉了...哭P還是繼續當老3...😀😃😄👏👏👏",-1,0,1
那就是跟哭P aka炒地P一樣啊⋯😭😀😃😄👏👏👏,-1,0,0
20到29歲的要加油…一票$30而已…盡量給炒地P，幫她籌備下一個買地的資金…可以再繼續種遊覽車😭🥰👏,-1,0,0
我是來探班的…看你有沒有認真在上班…你帳號不要在切來切去，像我固定一個就可以了😀😃😄👏👏👏,0,0,0
這個是保留公園的意思…🤠👏,0,0,0
沒什麼研究，只是大家都在長，然後他們還在各位數…😭🐒👏,0,0,-1
退在國民黨大老背後，小生怕怕,0,0,-1
不會喔`~這次會支持國民黨哦~😊,0,0,1
羅非常鬼怪.....🙄,0,0,0
沒有哦~這次會支持有健全、優質的執政團隊國民黨。不支持一人網紅師父喔,0,0,1
阿?????,0,0,0
鬍子男-拿郊外危建比市區合法建物。扯 :-)黑白講。聽了吐,0,0,0
是要選警政署長嗎？,0,0,-1
"我覺得柯P的團隊沒有智庫！所以柯p就沒有辦法從提撥、減稅、加薪完整的陳述方法及方向。

當然啊，侯友宜也不是他厲害，應該是國民黨的智庫相對的是很強的；

賴清德的部分一直在搏感情，講的真的蠻空虛的。",-1,-1,1
"哈瑪斯 優勢不是永遠,  綁架平民,事情做絕了,後患無窮 ！",0,0,0
"你們哥幾個。可以進軍臺灣8點檔本土劇
一定會演的很好。收視爆棚",0,0,0
記得一定要去投票,0,0,0
民,0,0,0
好的，我投柯,1,0,0
"百年大黨還要人家讓％，笑死人
所以票投賴清德就對了💪👍👏",0,1,-1
趙少康不是戰鬥藍，是戰敗藍。參選第一天，就呼籲選民票投民進黨了。😊,0,0,-1
"柯吳配31%
侯趙配20%",1,0,0
猴趙頂多300萬票，確定落選😊,0,0,-1
我覺得柯粉都自我膨脹 我想國民黨不合應該比較好 至少有主體性 民眾黨除了柯 還有什麼價值？！而民調 柯沒有大幅領先 所以放軟姿態 柯粉憨憨還不知道 真是可悲啊,-1,0,-
現代明神宗😂😂,0,0,0
看到網友留言我就放心了！歲月靜好……,0,0,0
朱明年必成過街老鼠,0,0,0
這上述幾位已被看破手腳，搖頭。。只是政客,0,0,0
看看她之前訪問苗就知道啦,0,0,0
"陳智菡還在跟國民黨糾纏？！真是不智。
民眾黨應該叫她翻過那一頁了！",1,0,-1
"民眾黨只要有柯在就能走下去，不會泡沫化，這次總統大選都能拼成這樣，藍綠即使有底氣也有可能被超越
看起來跟藍合作怎麼那麼難?感覺有苦說不出，怨氣往肚裡吞，本來都沒在留言了實在看不下去要當義勇軍幫忙了嗎？
乾脆找其他小黨3咖拼看看算了，在野有人氣的人也能考慮?
又或者藍營主合派有沒有有聲量的代表阿?不要各懷鬼胎的來談好嗎？",1,-,-
稅交給民進黨了吧,0,-1,0
鬥宗強者,0,0,0
"沒用的，
現在團派從上到下都被調查，
以前胡錦濤時期對團派的各種福利通通沒了。

沒辦法用團派幹部身份轉任地方官員那誰還會想進團派？",0,0,0
第八不要我看你不用上了,0,0,0
所以是這樣啦齁😂,0,0,0
蛤?還能這樣凹???,0,0,0
"凌濤又在鬼扯
笑死人
侯康支持度只有24%
所以有76%反對國民黨執政喔！
以為別人是87嗎？
元之還有笑感
凌濤真的很不受歡迎",0,0,-1
美國慫了......,0,0,0
小編標題打錯了！是民眾黨，不是民進黨喔！,-,-,0
"說的太好了！算是同一輩，也是三個小孩，兩個國小一個幼稚園，她很厲害，還能買房跟給小孩讀私立，我真的不行，只有雙薪月收入十萬上下，常常因為一些事可能生意又不好，我的行業算是很吃景氣但不吃疫情，目前都還算不是太穩定時期，真的很辛苦！！
我懂照顧長輩的那段感受，真的會很難過，雖然我爸讓我就學貸款，也沒什麼生活費，對於從小到大都是苦日子的我，想盡一份孝心都很難，心酸",0,0,0
媽寶!沒有能力擔任大任啦!,-1,0,0
"你的怨恨真深...那我是不是也要怨恨賴清德因為他也瞧不起716的遊行民眾
""不以人廢言""這句話真的讓我對他失望透頂，身為一個總統候選人卻把其他在外曬太陽表達執政者應該執行答應人民的訴求之人民當成品行不佳的人


如果只是以個人言論就評斷他是否能治理國家...那對現在的我來說真的太膚淺了。
過去投給陳水扁投給馬英九又投給蔡英文...哪個不是牛肉政策彈無虛發，每個都把願景講得無限大結果卻是一粒沙
我以為國家能進步卻發現只是原地踏步，當其他國家都積極發展時只有我們持續用變調的民主內耗得來不易的資本
從何時開始選戰變成利用媒體互波髒水互挖祖宗18代的歷史了？
從何時開始執政黨可以利用公家單位去霸凌他的人民了？
從何時開始圖利與合法貪汙成為一件光明正大的事情了？
從何時開始早上起牀就可以看見哪裡又發生兇殺案哪裡又發生詐騙案了？
從何時開始開始...人民已經對未來不抱持希望只祈求下一餐能溫飽了？",0,-,-
"1:07:00 到底是誰放任蛋商坐地起價的阿！農業部呢？公平會呢？
(話說...這樣的蛋商是不是合法黑市阿！難怪政府會說要控制黑市價格，原來是用另一個方式給蛋商賺讓他少漲點的意思阿！我真謝謝政府阿～幹)
是誰說...缺蛋就該漲價的？
原物料漲是農民的支出提高還是蛋商？
我就不信蛋商會降低利潤去收購蛋農的蛋啦！只會原物料提高～我一樣收購價但是賣貴一點！利潤必須抓穩

菜都已經管不住了現在連蛋也不管了！菜會颱風沒來預漲，蛋會原物料沒漲只是產量不足先漲！
人民已經少吃點了～越漲人民越不敢買懂不懂阿！惡性循環終究是蛋商在爽人民再苦，偏偏政府視而不見還跟著蛋商起舞

2:32:38 館長～能不能把高度加高...30公分我家獨立筒裝不下！加到35公分好嗎～
單身狗都拯救了～救救大於30CM的人",0,0,0
國冥黨正副總統候選人都是藍皮綠骨XD,0,0,-1
傀儡老三,0,0,-1
"藍白合真的沒意思😢
柯P啊啊啊",1,0,0
趙少康是中廣董事長、專搞媒體廣播事業的、他說賴是他的老大也是最好的總統、大家應該無須質疑是口誤,0,0,1
簡單說就是顧人怨嘛！,0,0,0
"58:16 單厚之回答到侯的大羣館和仰德公司政治獻金.覺得話題燒不起來.
說侯的房子是舊議題.仰德捐款那不是收賄.然後說賴老家的話題則會越燒越大.
其實是單厚之個人和藍營怕綠營把侯這兩個話題燒起來吧.即使沒違法.也會有嚴重觀感不佳問題",0,-,-
"侯這兩個話題 之後陳敏鳳 康仁俊 於將軍3人都說的很好.葉元之就緊張趕快硬凹了.
果然藍營是很怕侯這兩個話題被燒起來!",0,0,-1
大家跟你談違法合法，你跟大家談玄法，這位師父，心中既無底線，何談道德，勿以惡小而為之，勿以善小而不為，汝等切記,0,0,0
